Season,team,count,score,diff,Numot,fgm,fga,fgm3,ftm,fta,or2,dr,ast,to2,stl,blk,pf
2003,1102,16,17632,-180,0,265,634,99,149,230,71,239,161,187,79,16,332
2003,1103,14,15442,-105,4,343,788,76,224,296,142,259,181,178,101,39,270
2003,1104,11,12144,-104,0,234,609,58,144,203,150,221,101,150,62,35,225
2003,1105,19,20995,-218,4,455,1169,133,267,388,249,420,267,359,163,40,390
2003,1106,15,16590,-139,0,334,848,95,130,191,178,304,158,247,112,39,270
2003,1107,21,23247,-307,3,498,1219,166,192,268,170,392,255,261,150,37,330
2003,1108,19,21052,-263,0,458,1149,90,224,353,269,419,231,378,147,48,384
2003,1110,14,15540,-99,2,299,766,107,139,197,144,310,167,189,76,25,273
2003,1111,10,11110,-161,0,263,676,60,169,238,144,203,129,152,88,32,216
2003,1112,3,3336,-13,1,83,219,20,45,68,54,70,39,44,26,12,60
2003,1113,11,12243,-116,0,266,643,52,166,254,145,222,146,156,48,27,231
2003,1114,12,13368,-145,4,297,720,69,148,220,141,272,137,181,75,22,276
2003,1115,24,26760,-570,0,449,1303,111,257,407,240,495,241,463,191,61,480
2003,1116,19,21204,-262,0,390,1060,110,193,326,270,403,161,308,124,60,415
2003,1117,15,16755,-146,1,327,815,102,210,292,157,292,156,191,93,26,335
2003,1119,22,24618,-355,0,417,1052,123,176,268,180,469,250,381,121,36,432
2003,1120,11,12320,-171,0,250,601,60,101,154,126,201,109,183,71,39,180
2003,1122,7,7854,-103,0,148,394,49,88,126,79,151,83,116,51,34,143
2003,1123,17,19091,-219,1,415,1029,74,242,341,225,331,145,228,90,43,401
2003,1124,14,15736,-194,1,300,785,115,147,209,146,268,176,197,109,35,235
2003,1125,12,13500,-133,2,278,681,109,147,220,148,254,168,226,115,12,242
2003,1126,22,24772,-311,0,489,1269,131,244,369,299,428,225,343,181,43,422
2003,1127,13,14651,-170,1,290,746,89,125,192,148,264,150,201,88,70,252
2003,1128,9,10152,-86,0,171,453,64,132,186,106,173,105,153,66,30,185
2003,1129,16,18064,-124,1,353,909,73,213,320,187,346,170,230,101,57,330
2003,1130,11,12430,-126,1,281,683,57,166,262,170,230,163,151,69,33,233
2003,1131,10,11310,-103,0,216,574,60,101,144,123,214,126,140,53,21,216
2003,1132,16,18112,-186,0,325,793,104,253,346,151,342,186,283,108,36,361
2003,1133,18,20394,-150,1,427,1011,111,257,385,204,403,204,292,117,32,384
2003,1135,11,12485,-131,1,245,592,59,147,221,125,240,142,202,77,43,204
2003,1137,15,17055,-193,0,270,728,79,196,321,154,293,166,250,87,32,298
2003,1138,23,26174,-286,0,516,1346,122,285,426,323,517,269,333,139,45,530
2003,1139,5,5695,-54,1,115,267,43,45,70,44,93,50,73,37,10,110
2003,1140,8,9120,-65,1,178,432,43,144,196,102,182,88,131,50,21,194
2003,1141,6,6846,-80,0,129,317,32,94,133,72,124,68,112,37,19,148
2003,1142,14,15988,-147,1,320,807,95,158,224,164,291,161,211,80,43,267
2003,1143,8,9144,-81,2,214,509,59,75,119,106,163,114,108,46,21,155
2003,1144,22,25168,-381,1,481,1127,133,265,380,163,423,294,360,127,57,357
2003,1145,18,20610,-144,0,455,1093,105,176,255,218,450,263,280,138,63,356
2003,1147,14,16058,-246,0,332,793,62,198,266,150,236,152,226,94,42,290
2003,1148,13,14924,-131,0,302,710,79,122,169,154,256,149,203,78,17,215
2003,1149,14,16086,-141,1,323,779,59,116,173,155,292,171,222,121,37,267
2003,1150,16,18400,-196,4,355,965,118,184,291,231,354,199,239,117,21,314
2003,1151,9,10359,-94,0,262,570,65,136,174,122,175,142,150,74,22,179
2003,1152,27,31104,-365,1,625,1419,98,345,550,325,550,316,483,191,39,610
2003,1153,11,12683,-78,0,224,622,71,133,191,133,229,112,114,46,45,232
2003,1154,20,23080,-243,0,433,1108,127,220,346,231,427,262,342,142,59,409
2003,1155,13,15015,-171,0,277,726,61,155,231,168,263,140,200,94,35,275
2003,1156,22,25432,-302,3,492,1136,129,278,439,227,433,279,395,157,92,449
2003,1157,15,17355,-180,1,348,845,78,168,242,204,318,177,281,85,23,324
2003,1158,7,8106,-68,1,155,412,52,86,122,86,147,83,119,60,25,151
