Season,team,count,score,diff,Numot,fgm,fga,fgm3,ftm,fta,or2,dr,ast,to2,stl,blk,pf
2003,1102,12,825,187,0,271,480,120,163,249,46,232,203,133,88,34,193
2003,1103,13,1141,122,4,390,720,71,290,402,122,279,230,163,95,24,266
2003,1104,17,1270,224,1,439,992,120,272,383,230,449,238,222,123,71,280
2003,1105,7,556,91,0,179,433,64,134,180,102,181,111,126,79,14,136
2003,1106,13,888,135,1,322,700,76,168,270,166,364,169,230,122,49,239
2003,1107,7,492,33,3,175,390,56,86,111,61,175,79,91,42,20,115
2003,1108,14,1050,130,2,365,789,82,238,338,164,347,226,231,123,68,265
2003,1110,16,1147,233,0,396,840,156,199,299,156,384,260,206,116,27,271
2003,1111,16,1410,201,4,481,1001,127,321,443,194,455,267,269,168,88,270
2003,1112,25,2155,432,1,766,1621,177,446,632,371,704,455,370,211,106,437
2003,1113,18,1453,313,2,523,1007,64,343,506,252,454,305,250,103,96,332
2003,1114,16,1150,144,3,371,770,121,287,408,154,368,185,266,110,44,298
2003,1115,4,260,19,1,90,217,22,58,86,39,94,44,72,32,16,87
2003,1116,9,643,125,0,221,496,60,141,222,137,253,114,159,57,39,171
2003,1117,11,883,180,0,289,607,104,201,265,128,238,154,154,93,17,222
2003,1119,3,209,10,0,73,138,24,39,50,18,70,43,53,18,4,51
2003,1120,19,1442,307,0,521,1040,109,291,438,232,476,293,294,170,110,311
2003,1122,20,1449,157,4,488,1012,113,360,522,208,503,279,295,139,92,361
2003,1123,13,1053,137,0,363,785,87,240,323,170,321,170,157,66,23,285
2003,1124,14,1070,211,0,361,839,139,209,282,182,381,222,175,124,48,206
2003,1125,16,1217,182,1,436,852,120,225,310,147,408,305,248,139,36,272
2003,1126,8,588,65,2,204,408,40,140,185,70,185,104,133,67,11,161
2003,1127,14,1003,180,0,359,798,118,167,240,168,390,193,206,86,105,241
2003,1128,17,1226,168,0,402,841,136,286,392,171,385,243,254,139,73,285
2003,1129,12,853,95,3,293,664,72,195,265,126,268,156,173,85,50,216
2003,1130,18,1525,222,2,530,1047,117,348,482,230,410,330,236,134,51,317
2003,1131,20,1450,248,2,493,1073,137,327,432,207,518,281,261,118,83,389
