team,seed
1437,1
1242,2
1314,3
1211,4
1246,5
1112,6
1181,7
1257,8
1332,9
1199,10
1417,11
1124,12
1139,13
1196,14
1452,15
1345,16
1438,17
1278,18
1323,19
1235,20
1374,21
1153,22
1268,23
1166,24
1388,25
1376,26
1276,27
1173,28
1458,29
1274,30
1116,31
1321,32
1435,33
1371,34
1277,35
1439,36
1329,37
1455,38
1266,39
1433,40
1462,41
1344,42
1448,43
1348,44
1425,46
1243,45
1305,47
1292,48
1423,49
1343,50
1137,51
1190,52
1436,53
1457,54
1308,55
1195,56
1245,57
1233,58
1297,59
1407,60
1240,61
1315,62
1411,63
1355,64
1413,65
1300,66
1309,67
1291,68
