Season,Team1,Team2,Odds1
2016,1423,1181,10
2016,1139,1403,-3.5
2016,1163,1160,-3.5
2016,1233,1235,7
2016,1463,1124,5.5
2016,1214,1438,23
2016,1122,1242,24.5
2016,1114,1345,8
2016,1138,1274,14
2016,1199,1434,4.5
2016,1151,1231,11
2016,1195,1314,22.5
2016,1201,1428,8.5
2016,1455,1112,0
2016,1392,1246,13.5
2016,1344,1425,-2.5
2016,1211,1371,-2
2016,1238,1213,10.5
2016,1393,1173,-1
2016,1421,1437,17.5
2016,1433,1333,-4.5
2016,1218,1143,5.5
2016,1292,1277,16.5
2016,1396,1234,7
2016,1167,1328,15
2016,1355,1268,9
2016,1338,1458,-1
2016,1372,1452,7
2016,1453,1401,13
2016,1221,1332,22.5
2016,1462,1462,13.5
2016,1439,1140,8
2016,1276,1323,3
2016,1320,1400,3.5
2016,1153,1386,-3.5
2016,1455,1274,-2
2016,1463,1181,6.5
2016,1231,1246,3.5
2016,1114,1234,6
2016,1139,1438,8.5
2016,1163,1242,7.5
2016,1211,1428,-1
2016,1344,1314,11
2016,1196,1325,-1.5
2016,1234,1437,6
2016,1372,1323,1.5
2016,1433,1328,6
2016,1292,1393,6
2016,1218,1268,7.5
2016,1208,1388,-7
2016,1320,1401,7
2016,1458,1462,4.5
2016,1386,1332,7
2016,1274,1437,4
2016,1401,1328,2.5
2016,1268,1242,5.5
2016,1181,1332,3
2016,1234,1438,6
2016,1458,1323,1.5
2016,1211,1393,-4
2016,1231,1314,5
2016,1328,1332,1
2016,1437,1242,2
2016,1393,1438,8
2016,1323,1314,9.5
2016,1328,1437,2.5
2016,1393,1314,10
2016,1437,1314,2
2015,1318,1323,12
2015,1412,1235,14
2015,1209,1124,9.5
2015,1411,1112,23.5
2015,1400,1139,-2
2015,1417,1374,3.5
2015,1279,1462,2
2015,1326,1433,-3.5
2015,1248,1437,22
2015,1345,1153,2
2015,1217,1314,9.5
2015,1372,1428,6.5
2015,1261,1301,2
2015,1214,1246,34.5
2015,1459,1116,7.5
2015,1186,1207,8
2015,1307,1242,9.5
2015,1208,1277,6
2015,1461,1320,6.5
2015,1138,1452,4.5
2015,1231,1455,6.5
2015,1125,1438,17
2015,1414,1257,8.5
2015,1434,1268,5
2015,1329,1332,0
2015,1352,1181,22.5
2015,1172,1234,2.5
2015,1107,1328,13
2015,1157,1458,20.5
2015,1355,1435,8.5
2015,1385,1361,4
2015,1295,1211,17.5
2015,1173,1344,3
2015,1104,1274,4.5
2015,1412,1417,5.5
2015,1153,1246,15.5
2015,1326,1112,9.5
2015,1209,1462,6
2015,1301,1437,9.5
2015,1428,1207,-4.5
2015,1116,1314,5
2015,1139,1323,4
2015,1203,1396,4.5
2015,1277,1438,4.5
2015,1361,1181,9
2015,1455,1242,0
2015,1173,1328,4
2015,1234,1211,6
2015,1332,1458,12.5
2015,1320,1257,-2.5
2015,1455,1323,-2
2015,1314,1458,6
2015,1452,1246,13
2015,1462,1112,11.5
2015,1417,1211,8.5
2015,1301,1257,2.5
2015,1428,1181,4.5
2015,1277,1328,-1.5
2015,1112,1458,-1.5
2015,1323,1246,11
2015,1277,1257,-2.5
2015,1211,1181,2
2015,1277,1181,5.5
2015,1458,1246,4.5
2015,1458,1181,-1
2014,1173,1326,6.5
2014,1110,1458,14
2014,1338,1160,-6
2014,1217,1153,3
2014,1444,1393,13
2014,1140,1332,5
2014,1107,1196,22
2014,1174,1277,15
2014,1386,1163,4.5
2014,1459,1276,15
2014,1301,1387,3
2014,1295,1328,3.5
2014,1454,1437,16.5
2014,1113,1400,2.5
2014,1264,1257,16
2014,1308,1361,8
2014,1273,1181,13
2014,1304,1124,3.5
2014,1390,1307,4.5
2014,1462,1112,20
2014,1397,1269,-6
2014,1418,1166,13.5
2014,1184,1242,13
2014,1329,1211,-4
2014,1203,1272,4
2014,1142,1455,16.5
2014,1344,1314,4.5
2014,1372,1433,6
2014,1157,1438,19.5
2014,1352,1125,9
2014,1243,1246,6
2014,1300,1235,8.5
2014,1409,1417,8.5
2014,1400,1276,5
2014,1338,1196,5.5
2014,1295,1361,3.5
2014,1173,1393,8.5
2014,1332,1458,6
2014,1217,1277,8.5
2014,1163,1437,4
2014,1390,1242,6.5
2014,1246,1455,4.5
2014,1388,1278,6.5
2014,1379,1281,4.5
2014,1314,1235,1
2014,1273,1397,8.5
2014,1372,1417,9.5
2014,1124,1166,4
2014,1272,1438,7
2014,1211,1112,7.5
2014,1173,1390,3
