Year,Team,Seed
2016,1242,1
2016,1314,2
2016,1438,3
2016,1332,4
2016,1277,5
2016,1328,6
2016,1437,7
2016,1462,8
2016,1452,9
2016,1274,10
2016,1428,11
2016,1401,12
2016,1181,13
2016,1143,14
2016,1246,15
2016,1235,16
2016,1231,17
2016,1345,18
2016,1268,19
2016,1124,20
2016,1400,21
2016,1323,22
2016,1112,23
2016,1371,24
2016,1458,25
2016,1173,26
2016,1234,27
2016,1333,28
2016,1403,29
2016,1160,30
2016,1425,31
2016,1386,32
2016,1344,33
2016,1139,34
2016,1153,35
2016,1163,36
2016,1338,37
2016,1396,38
2016,1393,39
2016,1433,40
2016,1435,41
2016,1276,42
2016,1455,43
2016,1211,44
2016,1409,45
2016,1320,46
2016,1151,47
2016,1114,48
2016,1463,49
2016,1355,50
2016,1423,51
2016,1218,52
2016,1392,53
2016,1233,54
2016,1453,55
2016,1138,56
2016,1201,57
2016,1372,58
2016,1292,59
2016,1167,60
2016,1421,61
2016,1451,62
2016,1122,63
2016,1214,64
2016,1195,65
2016,1192,66
2016,1380,67
2016,1221,68
2015,1246,1
2015,1437,2
2015,1181,3
2015,1458,4
2015,1438,5
2015,1112,6
2015,1211,7
2015,1242,8
2015,1235,9
2015,1124,10
2015,1328,11
2015,1323,12
2015,1314,13
2015,1268,14
2015,1257,15
2015,1207,16
2015,1428,17
2015,1116,18
2015,1452,19
2015,1320,20
2015,1374,21
2015,1344,22
2015,1139,23
2015,1462,24
2015,1277,25
2015,1455,26
2015,1234,27
2015,1393,28
2015,1153,29
2015,1332,30
2015,1301,31
2015,1361,32
2015,1385,33
2015,1328,34
2015,1261,35
2015,1345,36
2015,1231,37
2015,1172,38
2015,1326,39
2015,1208,40
2015,1400,41
2015,1417,42
2015,1279,43
2015,1140,44
2015,1129,45
2015,1173,46
2015,1461,47
2015,1138,48
2015,1459,49
2015,1372,50
2015,1434,51
2015,1217,52
2015,1186,53
2015,1414,54
2015,1209,55
2015,1318,56
2015,1412,57
2015,1107,58
2015,1308,59
2015,1125,60
2015,1411,61
2015,1295,62
2015,1248,63
2015,1157,64
2015,1316,65
2015,1352,66
2015,1264,67
2015,1214,68
2014,1196,1
2014,1112,2
2014,1455,3
2014,1438,4
2014,1437,5
2014,1276,6
2014,1242,7
2014,1458,8
2014,1181,9
2014,1393,10
2014,1166,11
2014,1235,12
2014,1257,13
2014,1277,14
2014,1417,15
2014,1361,16
2014,1153,17
2014,1387,18
2014,1433,19
2014,1361,20
2014,1314,21
2014,1326,22
2014,1269,23
2014,1124,24
2014,1400,25
2014,1163,26
2014,1332,27
2014,1307,28
2014,1246,29
2014,1211,30
2014,1272,31
2014,1160,32
2014,1243,33
2014,1203,34
2014,1328,35
2014,1338,36
2014,1390,37
2014,1386,38
2014,1140,39
2014,1113,40
2014,1173,41
2014,1304,42
2014,1344,43
2014,1397,44
2014,1234,45
2014,1462,46
2014,1301,47
2014,1295,48
2014,1217,49
2014,1372,50
2014,1264,51
2014,1409,52
2014,1308,53
2014,1174,54
2014,1444,55
2014,1273,56
2014,1248,57
2014,1300,58
2014,1184,59
2014,1454,60
2014,1459,61
2014,1110,62
2014,1157,63
2014,1451,64
2014,1291,65
2014,1108,66
2014,1411,67
2014,1142,68
