team,count,score,diff,Numot,fgm,fga,fgm3,ftm,fta,or2,dr,ast,to2,stl,blk,pf
1101,9,704,68,0,231,486,62,180,238,76,223,125,118,75,23,220
1102,12,850,70,1,287,649,65,211,305,109,339,179,162,83,21,216
1103,25,1975,313,0,655,1495,305,360,512,265,651,384,252,144,102,427
1104,18,1280,143,2,431,952,148,270,414,182,477,220,244,117,95,332
1105,10,727,85,2,240,566,65,182,245,119,262,133,118,56,22,188
1106,12,872,78,1,307,732,92,166,243,159,314,152,147,70,43,252
1107,23,1784,322,2,600,1256,145,439,578,250,650,312,299,157,43,392
1108,13,950,109,4,312,681,88,238,328,150,327,128,191,68,59,230
1110,12,792,82,2,262,558,91,177,245,71,289,140,134,72,28,216
1111,9,689,83,0,219,507,83,168,230,114,264,123,140,31,42,199
1112,25,2057,436,1,692,1423,167,506,706,274,736,378,309,129,115,450
1113,15,1173,177,0,385,876,125,278,386,202,390,212,183,87,42,272
1114,27,1899,333,1,687,1478,202,323,444,240,660,370,271,167,85,469
1115,8,493,27,1,181,401,54,77,134,76,196,82,132,64,44,174
1116,16,1371,262,2,491,994,124,265,378,174,437,302,168,126,102,330
1117,9,697,64,3,233,528,54,177,252,88,298,130,123,53,53,165
1119,18,1465,185,4,515,1117,169,266,376,204,556,306,247,98,65,349
1120,11,943,108,0,301,639,124,217,320,108,317,157,156,69,58,227
1122,16,1334,127,2,450,873,112,322,456,170,417,243,224,102,48,266
1123,18,1325,198,3,443,972,164,275,389,178,507,278,238,102,79,348
1124,21,1719,338,3,603,1214,128,385,509,277,519,415,256,167,92,388
1125,19,1645,203,0,570,1098,207,298,416,162,522,345,242,92,45,360
1126,12,889,127,2,304,679,96,185,256,136,327,163,150,63,85,215
1127,8,569,80,0,188,437,48,145,199,81,221,97,106,60,23,144
1129,18,1425,200,0,478,1033,150,319,448,184,457,248,207,118,34,316
1130,7,522,117,1,189,403,61,83,132,64,213,106,92,45,38,126
1131,17,1281,168,6,447,926,129,258,355,144,502,232,219,95,72,314
1132,14,1074,134,0,377,784,91,229,326,149,386,176,167,78,54,272
1133,4,244,10,0,81,197,17,65,97,38,106,43,57,21,15,86
1135,7,569,63,1,193,402,69,114,156,58,218,124,87,34,35,130
1136,7,537,46,2,204,396,57,72,113,69,177,119,97,37,16,127
1137,16,1306,247,2,436,905,126,308,423,165,454,268,216,115,54,347
1138,19,1574,212,1,522,1137,162,368,504,231,517,275,243,144,66,385
1139,21,1841,392,1,628,1248,156,429,581,225,569,336,218,161,78,421
1140,22,1912,388,0,672,1386,217,351,504,248,670,406,249,142,94,390
1141,14,1084,167,0,369,781,133,213,272,115,376,181,132,65,38,232
1142,8,639,74,2,213,480,71,142,194,91,222,125,79,39,33,158
1143,23,1797,325,1,618,1301,172,389,600,268,692,343,273,87,130,442
1144,9,743,78,1,247,488,74,175,241,64,233,103,102,53,24,167
1145,14,1161,143,6,374,851,121,292,386,177,341,209,145,91,48,265
1146,7,680,112,0,236,439,53,155,203,79,204,132,86,47,31,140
1148,4,302,24,0,97,224,18,90,118,53,110,45,52,30,16,65
1149,6,441,31,0,157,320,57,70,115,40,171,74,72,24,10,104
1150,14,1281,189,2,446,868,139,250,331,145,359,256,166,98,34,236
1151,27,2096,312,2,701,1515,206,488,656,291,684,394,310,203,136,464
1152,1,77,7,0,23,49,10,21,29,3,27,12,7,4,4,12
1153,22,1660,381,0,577,1310,173,333,468,295,571,359,231,205,128,328
1154,7,635,32,0,222,478,80,111,154,84,194,126,99,59,30,160
1155,17,1229,266,1,417,913,126,269,369,177,469,246,177,109,91,254
1156,7,451,45,0,152,376,45,102,141,83,170,79,93,54,24,146
1157,15,1120,151,1,402,834,111,205,301,151,447,182,195,85,51,252
1158,16,1080,150,1,384,865,102,210,313,160,409,203,205,125,39,314
1159,12,912,126,1,320,630,108,164,227,93,269,180,131,77,29,233
1160,21,1714,251,2,557,1229,165,435,577,265,648,313,270,107,112,375
